id,source,instructions,student_1,student_2,student_3,student_4,student_5,student_6,student_7,student_8,student_9,student_10,student_11,student_12,student_13,student_14,student_15,student_16,student_17,student_18,student_19,student_20,student_21,student_22,student_23,student_24,student_25,student_26,student_27,student_28,student_29,student_30,student_31,student_32,student_33,student_34,student_35,student_36,student_37,student_38,student_39,student_40
1,CodeWorkout,"Write a function in Java that implements the following logic: Given 2 ints, a and b, return their sum. However, sums in the range 10..19 inclusive, are forbidden, so in that case just return 20.



##The solution of the given exercise is:
public int sortaSum(int a, int b)
{
    if (a + b >= 10)
    {
        if (a + b <= 19)
        {
            return 20;
        }
        return a + b;
    }
    else
    {
        return a + b;
    }
}

",1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,1.0,0.0,1.0,0.733333,0.466667,0.0,1.0,0.6,1.0,1.0,0.0,1.0,1.0,1.0,0.466667,1.0,1.0,1.0,0.0666667,0.0,0.6,0.0,0.0,0.0,0.466667,0.0,1.0
3,CodeWorkout,"Write a function in Java that implements the following logic: Given a number n, return true if n is in the range 1..10, inclusive. Unless ""outsideMode"" is true, in which case return true if the number is less or equal to 1, or greater or equal to 10.



##The solution of the given exercise is:
public boolean in1To10(int n, boolean outsideMode)
{
    if (outsideMode)
    {
        if (n <= 1)
        {
            return true;
        }
        else if (n >= 10)
        {
            return true;
        }
        else
        {
            return false;
        }
    }
    else 
    {
        if (n < 1)
        {
            return false;
        }
        else if (n > 10)
        {
            return false;
        }
        else
        {
            return true;
        }
    }
}

",0.8125,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.625,0.5625,0.0,0.8125,0.875,1.0,1.0,0.0,0.8125,0.8125,0.0,0.8125,1.0,0.6875,1.0,0.8125,1.0,0.8125,0.875,0.5625,0.0,0.0,0.5625,0.0,1.0,0.0
5,CodeWorkout,"Write a function in Java that implements the following logic: Your cell phone rings. Return true if you should answer it. Normally you answer, except in the morning you only answer if it is your mom calling. In all cases, if you are asleep, you do not answer.



##The solution of the given exercise is:
public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    if (isAsleep)
    {
        return false;
    }
    if (isMorning)
    {
        if (isMom)
        {
        	return true;
        }
        else
        {
            return false;
        }
    }
    else
    {
        return true;
    }
        
}

",0.875,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.625,1.0,0.875,0.875,0.0,0.0,0.875,1.0
12,CodeWorkout,"Write a function in Java that implements the following logic: The squirrels in Palo Alto spend most of the day playing. In particular, they play if the temperature is between 60 and 90 (inclusive). Unless it is summer, then the upper limit is 100 instead of 90. Given an int temperature and a boolean isSummer, return true if the squirrels play and false otherwise.



##The solution of the given exercise is:
public boolean squirrelPlay(int temp, boolean isSummer)
{
    if (isSummer)
    {
        if (temp >= 60)
        {
            if (temp <= 100)
            {
                return true;
            }
            return false;
        }
        return false;
    }
    else
    {
        if (temp >= 60)
        {
            if (temp <= 90)
            {
                return true;
            }
            return false;
        }
        return false;
    }
}

",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.45,0.0,0.0,0.85,0.0,0.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.85,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
13,CodeWorkout,"Write a function in Java that implements the following logic: You are driving a little too fast, and a police officer stops you. Write code to compute the result, encoded as an int value: 0=no ticket, 1=small ticket, or 2=big ticket. If speed is 60 or less, the result is 0. If speed is between 61 and 80 inclusive, the result is 1. If speed is 81 or more, the result is 2. Unless it is your birthday--on that day, your speed can be 5 higher in all cases.



##The solution of the given exercise is:
public int caughtSpeeding(int speed, boolean isBirthday)
{
    if (isBirthday)
    {
        speed = speed - 5;
    }
    if (speed <= 60)
    {
        return 0;
    }
    else if (speed <=80)
    {
        return 1;
    }
    else 
    {
        return 2;
    }
}

",0.695652,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.565217,0.652174,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,CodeWorkout,"Write a function in Java that implements the following logic: You have a red lottery ticket showing ints a, b, and c, each of which is 0, 1, or 2. If they are all the value 2, the result is 10. Otherwise if they are all the same, the result is 5. Otherwise so long as both b and c are different from a, the result is 1. Otherwise the result is 0.



##The solution of the given exercise is:
public int redTicket(int a, int b, int c)
{
    if (a == 2 && b == 2 && c == 2)
    {
        return 10;
    }
    else if (a == b && b == c)
    {
        return 5;
    }
    else if (a != b && a != c)
    {
        return 1;
    }
    else
    {
        return 0;
    }
}

",1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.807692,0.0,0.0,1.0,0.8846149999999999,1.0,1.0,1.0,1.0,0.961538,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.807692,1.0,1.0,1.0
20,CodeWorkout,"Write a function in Java that implements the following logic: Given 3 int values, a, b, and c, return their sum. However, if one of the values is the same as another of the values, it does not count towards the sum.



##The solution of the given exercise is:
public int loneSum(int a, int b, int c)
{
    if (a != b && b != c && a != c)
    {
        return a + b + c;
    }
    else if (a == b && b == c)
    {
        return 0;
    }
    else if (a == b)
    {
        return c;
    }
    else if (a == c)
    {
        return b;
    }
    else
    {
        return a;
    }
}

",0.785714,1.0,0.0,0.0,0.357143,1.0,0.857143,1.0,1.0,1.0,0.857143,0.0,0.357143,1.0,0.0,0.357143,1.0,0.357143,0.0,0.357143,0.357143,0.785714,0.714286,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.857143,0.357143,0.357143,0.357143,0.0,0.357143,0.0,0.857143,1.0
21,CodeWorkout,"Write a function in Java that implements the following logic: Given 3 int values, a, b, and c, return their sum. However, if one of the values is 13 then it does not count towards the sum and values to its right do not count. So for example, if b is 13, then both b and c do not count.



##The solution of the given exercise is:
public int luckySum(int a, int b, int c)
{
    if (a != 13 && b != 13 && c != 13)
    {
        return a + b + c;
    }
    else if (a == 13)
    {
        return 0;
    }
    else if (b == 13)
    {
        return a;
    }
    else
    {
        return a + b;
    }
}

",1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.6,1.0,0.0
22,CodeWorkout,"Write two methods in Java that implements the following logic: Given 3 int values, a, b, and c, return their sum. However, if any of the values is a teen--in the range 13..19 inclusive--then that value counts as 0, except 15 and 16 do not count as teens. Write a separate helper method called fixTeen() that takes in an int value and returns that value fixed for the teen rule. In this way you avoid repeating the teen code 3 times (i.e. ""decomposition"").



##The solution of the given exercise is:
public int noTeenSum(int a, int b, int c)
{
	return fixTeen(a) + fixTeen(b) + fixTeen(c);
}

public int fixTeen(int n)
{
    if (n == 13 || n == 14 || n >= 17 && n <= 19)
    {
        n = 0;
    }
    return n;
}

",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.44,1.0,0.12,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.36,0.0,0.0,0.0,1.0,1.0,0.0,0.0
24,CodeWorkout,"Write a function in Java that implements the following logic: Given 2 int values greater than 0, return whichever value is nearest to 21 without going over. Return 0 if they both go over.



##The solution of the given exercise is:
public int blackjack(int a, int b)
{
    if (a > 21 && b > 21)
    {
        return 0;
    }
    else if (a > 21)
    {
        return b;
    }
    else if (b > 21)
    {
        return a;
    }
    else if (a > b)
    {
        return a;
    }
    else
    {
        return b;
    }
}

",1.0,1.0,0.0,0.227273,0.727273,0.0,0.727273,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.727273,0.5,1.0,0.0,1.0,0.636364,0.0,0.954545,0.818182,0.0,0.0,0.727273,1.0,0.0,0.0,0.772727,1.0,0.0,0.727273,0.727273,0.0,0.0,0.590909,0.0,0.272727,0.727273
