HITId,AssignmentId,WorkerId,source,summary_id,base_A_id,candidate_id,candidate_distinct,role,slot,faith,info,reason,work_seconds
35NNO802AWSF66FYAZV8MPD7QYZNIJ,3EICBYG646SVWX07TTCW7ZUZ8K9CJ7,A32CMQGGTSUK6Z,FINAL_code_prompts_64_base,86,28,46,True,base_A,A,1.0,1.0,Almost uselessly generic prompt that leads to many different for answers. To its credit it do won't get sucked into meandering.,3692
35NNO802AWSF66FYAZV8MPD7QYZNIJ,3EICBYG646SVWX07TTCW7ZUZ8K9CJ7,A32CMQGGTSUK6Z,FINAL_code_prompts_64_base,86,28,46,True,base_B,B,0.0,0.25,,3692
35NNO802AWSF66FYAZV8MPD7QYZNIJ,3EICBYG646SVWX07TTCW7ZUZ8K9CJ7,A32CMQGGTSUK6Z,FINAL_code_prompts_64_base,86,28,46,True,candidate,third,0.25,0.5,,3692
3W0KKJIARS5L9UII40R1H82PT7P8KR,3DEL4X4EL8H9UK616P9MVZUXM7UXYE,A1DVKS3R9SLQ1H,FINAL_code_prompts_64_base,78,14,30,True,base_B,A,0.25,0.0,The prompt has some meaning but it does not have a proper programming structure to be executed.,480
3W0KKJIARS5L9UII40R1H82PT7P8KR,3DEL4X4EL8H9UK616P9MVZUXM7UXYE,A1DVKS3R9SLQ1H,FINAL_code_prompts_64_base,78,14,30,True,candidate,B,0.5,0.5,,480
3W0KKJIARS5L9UII40R1H82PT7P8KR,3DEL4X4EL8H9UK616P9MVZUXM7UXYE,A1DVKS3R9SLQ1H,FINAL_code_prompts_64_base,78,14,30,True,base_A,third,0.75,0.75,,480
3FK4G712NYW1GXAZN768PLT0MV9SSS,3R9WASFE21CSZOPL2H5J3Z3SNUDZFM,A32CMQGGTSUK6Z,FINAL_code_prompts_64_base,93,46,7,True,base_A,A,1.0,1.0,"Brings up a good example of it, that challenges while staying concise and making sense.",3965
3FK4G712NYW1GXAZN768PLT0MV9SSS,3R9WASFE21CSZOPL2H5J3Z3SNUDZFM,A32CMQGGTSUK6Z,FINAL_code_prompts_64_base,93,46,7,True,base_B,B,0.75,0.75,,3965
3FK4G712NYW1GXAZN768PLT0MV9SSS,3R9WASFE21CSZOPL2H5J3Z3SNUDZFM,A32CMQGGTSUK6Z,FINAL_code_prompts_64_base,93,46,7,True,candidate,third,1.0,0.75,,3965
3S8A4GJRD4ZCLRT6AP8AZ3HF3A6V6E,3CTOC39K39MPKG5B2C4LRD2L68HJ7H,AE861G0AY5RGT,FINAL_code_prompts_64_base,67,3,16,True,candidate,A,0.5,0.5,It sounds like it is discussing a product and benefits of it which is business related.,2225
3S8A4GJRD4ZCLRT6AP8AZ3HF3A6V6E,3CTOC39K39MPKG5B2C4LRD2L68HJ7H,AE861G0AY5RGT,FINAL_code_prompts_64_base,67,3,16,True,base_B,B,0.75,0.75,,2225
3S8A4GJRD4ZCLRT6AP8AZ3HF3A6V6E,3CTOC39K39MPKG5B2C4LRD2L68HJ7H,AE861G0AY5RGT,FINAL_code_prompts_64_base,67,3,16,True,base_A,third,1.0,0.75,,2225
37Y5RYYI0Q19CEWYHHCVOTAS1ABXS5,3OS4RQUCRBBWHQM5W3PGHHWPWRRBFS,AE861G0AY5RGT,FINAL_code_prompts_64_base,72,8,12,True,base_B,A,0.0,0.25,The base prompt adds nothing.,17988
37Y5RYYI0Q19CEWYHHCVOTAS1ABXS5,3OS4RQUCRBBWHQM5W3PGHHWPWRRBFS,AE861G0AY5RGT,FINAL_code_prompts_64_base,72,8,12,True,base_A,B,1.0,0.75,,17988
37Y5RYYI0Q19CEWYHHCVOTAS1ABXS5,3OS4RQUCRBBWHQM5W3PGHHWPWRRBFS,AE861G0AY5RGT,FINAL_code_prompts_64_base,72,8,12,True,candidate,third,0.5,0.5,,17988
3BFF0DJK8Y82VXNEC7BYZQPMOENSTH,37UEWGM5HV4S7I9ML1WLSUXZE4C1RY,A2K2T23JWSB8R4,FINAL_code_prompts_64_base,69,5,62,True,candidate,A,0.0,0.0,Base Prompt A is asking for analysis on Crypto. The General Prompt wants to know about technical systems and resource optimization.,247
3BFF0DJK8Y82VXNEC7BYZQPMOENSTH,37UEWGM5HV4S7I9ML1WLSUXZE4C1RY,A2K2T23JWSB8R4,FINAL_code_prompts_64_base,69,5,62,True,base_A,B,0.25,0.25,,247
3BFF0DJK8Y82VXNEC7BYZQPMOENSTH,37UEWGM5HV4S7I9ML1WLSUXZE4C1RY,A2K2T23JWSB8R4,FINAL_code_prompts_64_base,69,5,62,True,base_B,third,0.25,0.25,,247
3BFF0DJK8Y82VXNEC7BYZQPMOENSTH,3NKQQ8O3901EF5HF5OBLY7LS9ZIDU0,AE861G0AY5RGT,FINAL_code_prompts_64_base,69,5,62,True,candidate,A,0.0,0.0,It is not about technical systems.,44003
3BFF0DJK8Y82VXNEC7BYZQPMOENSTH,3NKQQ8O3901EF5HF5OBLY7LS9ZIDU0,AE861G0AY5RGT,FINAL_code_prompts_64_base,69,5,62,True,base_A,B,0.75,0.75,,44003
3BFF0DJK8Y82VXNEC7BYZQPMOENSTH,3NKQQ8O3901EF5HF5OBLY7LS9ZIDU0,AE861G0AY5RGT,FINAL_code_prompts_64_base,69,5,62,True,base_B,third,1.0,1.0,,44003
31JUPBOORO0WT000P032W8F4I7U8LU,3Y4W8Q93L1GESK6FAELQUTNBN6RVD7,AE861G0AY5RGT,FINAL_code_prompts_64_base,90,42,23,True,base_A,A,1.0,0.75,It provides a female character but  is not long.,9701
31JUPBOORO0WT000P032W8F4I7U8LU,3Y4W8Q93L1GESK6FAELQUTNBN6RVD7,AE861G0AY5RGT,FINAL_code_prompts_64_base,90,42,23,True,base_B,B,1.0,0.75,,9701
31JUPBOORO0WT000P032W8F4I7U8LU,3Y4W8Q93L1GESK6FAELQUTNBN6RVD7,AE861G0AY5RGT,FINAL_code_prompts_64_base,90,42,23,True,candidate,third,0.5,0.25,,9701
33TGB4G0LQDARE9D6HHLYY6E3TPXTU,3FFJ6VRIL3KF7ULLZVYC0XDYMGNI08,A2K2T23JWSB8R4,FINAL_code_prompts_64_base,73,9,32,True,base_B,A,0.5,0.75,General Prompt wants a non specified  general letter written. Prompt A wants a letter for a software engineer job.,238
33TGB4G0LQDARE9D6HHLYY6E3TPXTU,3FFJ6VRIL3KF7ULLZVYC0XDYMGNI08,A2K2T23JWSB8R4,FINAL_code_prompts_64_base,73,9,32,True,base_A,B,0.5,0.5,,238
33TGB4G0LQDARE9D6HHLYY6E3TPXTU,3FFJ6VRIL3KF7ULLZVYC0XDYMGNI08,A2K2T23JWSB8R4,FINAL_code_prompts_64_base,73,9,32,True,candidate,third,0.25,0.0,,238
33TGB4G0LQDARE9D6HHLYY6E3TPXTU,3RSDURM96CI0OKFKBKJU7A9Q60VEYW,A32CMQGGTSUK6Z,FINAL_code_prompts_64_base,73,9,32,True,base_B,A,0.25,0.75,"Breaks one of the cardinal sins of the prompt heavily, that being concision.",1768
33TGB4G0LQDARE9D6HHLYY6E3TPXTU,3RSDURM96CI0OKFKBKJU7A9Q60VEYW,A32CMQGGTSUK6Z,FINAL_code_prompts_64_base,73,9,32,True,base_A,B,0.25,0.75,,1768
33TGB4G0LQDARE9D6HHLYY6E3TPXTU,3RSDURM96CI0OKFKBKJU7A9Q60VEYW,A32CMQGGTSUK6Z,FINAL_code_prompts_64_base,73,9,32,True,candidate,third,0.0,0.5,,1768
3KTZHH2ONJBGZIILPC4HWLUTICK8MW,39DD6S19JR70TAPP76LDLHISBTYZE4,A32CMQGGTSUK6Z,FINAL_code_prompts_64_base,70,6,60,True,base_B,A,1.0,0.75,Picks a specific avenue within the prompt and expans on it. Just needed to get a bit more detailed for the topic.,3621
3KTZHH2ONJBGZIILPC4HWLUTICK8MW,39DD6S19JR70TAPP76LDLHISBTYZE4,A32CMQGGTSUK6Z,FINAL_code_prompts_64_base,70,6,60,True,base_A,B,1.0,0.5,,3621
3KTZHH2ONJBGZIILPC4HWLUTICK8MW,39DD6S19JR70TAPP76LDLHISBTYZE4,A32CMQGGTSUK6Z,FINAL_code_prompts_64_base,70,6,60,True,candidate,third,1.0,1.0,,3621
3UYRNV2KIUVMH03L1DJH90JTN2U8NW,3TR2532VIRQ6GGR6J2ZTLZ2PBXXJ6I,AE861G0AY5RGT,FINAL_code_prompts_64_base,87,34,59,True,base_A,A,0.75,0.75,"It is a smary of a complex issue text, but it seems broad not specific.",9373
3UYRNV2KIUVMH03L1DJH90JTN2U8NW,3TR2532VIRQ6GGR6J2ZTLZ2PBXXJ6I,AE861G0AY5RGT,FINAL_code_prompts_64_base,87,34,59,True,base_B,B,0.75,1.0,,9373
3UYRNV2KIUVMH03L1DJH90JTN2U8NW,3TR2532VIRQ6GGR6J2ZTLZ2PBXXJ6I,AE861G0AY5RGT,FINAL_code_prompts_64_base,87,34,59,True,candidate,third,0.75,0.75,,9373
351S7I5UGASB1HZ4SHG8YQS73DONJV,3QUO65DNQWK5J284VXP191XREF7OUV,AM0JKZVOEOTMA,FINAL_random_prompts_64_base,85,28,19,True,base_B,A,1.0,0.25,"Few detailes are implied by base prompt, it invents nothing and most of the details (PeachPay, providing a bank account, workers lay off and so on.) are missing in general prompt",2285
351S7I5UGASB1HZ4SHG8YQS73DONJV,3QUO65DNQWK5J284VXP191XREF7OUV,AM0JKZVOEOTMA,FINAL_random_prompts_64_base,85,28,19,True,base_A,B,1.0,0.25,,2285
351S7I5UGASB1HZ4SHG8YQS73DONJV,3QUO65DNQWK5J284VXP191XREF7OUV,AM0JKZVOEOTMA,FINAL_random_prompts_64_base,85,28,19,True,candidate,third,0.25,0.0,,2285
3Y40HMYLL2EPRRO26M7V3USGM7WXUL,3WEV0KO0OOOY0SPBGJGLJ634O2XDSK,AE861G0AY5RGT,FINAL_random_prompts_64_base,88,31,19,True,base_A,A,0.75,0.25,It provides no information.,17397
3Y40HMYLL2EPRRO26M7V3USGM7WXUL,3WEV0KO0OOOY0SPBGJGLJ634O2XDSK,AE861G0AY5RGT,FINAL_random_prompts_64_base,88,31,19,True,candidate,B,0.75,0.5,,17397
3Y40HMYLL2EPRRO26M7V3USGM7WXUL,3WEV0KO0OOOY0SPBGJGLJ634O2XDSK,AE861G0AY5RGT,FINAL_random_prompts_64_base,88,31,19,True,base_B,third,0.75,0.75,,17397
39O6Z4JLX3TP46D2BCH0ZGUZ0E5XVA,3EICBYG646SVWX07TTCW7ZUZ7J8JCA,AE861G0AY5RGT,FINAL_random_prompts_64_base,81,23,17,True,base_B,A,0.0,0.0,Not a creative writing piece it is a query.,43532
39O6Z4JLX3TP46D2BCH0ZGUZ0E5XVA,3EICBYG646SVWX07TTCW7ZUZ7J8JCA,AE861G0AY5RGT,FINAL_random_prompts_64_base,81,23,17,True,base_A,B,1.0,1.0,,43532
39O6Z4JLX3TP46D2BCH0ZGUZ0E5XVA,3EICBYG646SVWX07TTCW7ZUZ7J8JCA,AE861G0AY5RGT,FINAL_random_prompts_64_base,81,23,17,True,candidate,third,0.5,0.5,,43532
